original_title,release_year,vote_average,vote_count,revenue
Ebola Zombies,2015.0,9.5,2.0,0.0
Bob Esponja: Días de Cangreburgers,2016.0,9.5,4.0,0.0
鬼滅の刃 兄妹の絆,2019.0,9.4,17.0,0.0
Јужни Ветар 2: Убрзање,2021.0,9.3,4.0,0.0
French Lolita,1998.0,9.3,2.0,0.0
Franco Escamilla: Por La Anécdota,2018.0,9.2,88.0,0.0
번 더 스테이지: 더 무비,2018.0,9.2,309.0,20.0
Colegialas lesbianas y el placer de pervertir,1983.0,9.1,4.0,222087.0
Mr. Robot: Behind the Mask,2017.0,9.1,7.0,0.0
All About Sex,2021.0,9.0,1.0,0.0
The House of Gaunt: Lord Voldemort Origins,2021.0,9.0,2.0,0.0
Sex School: Dorms of Desire,2018.0,9.0,1.0,0.0
พร้อมรัก ยัยตุ๊กตาซ้อมรัก,2020.0,9.0,4.0,0.0
40 y 20,,9.0,4.0,0.0
Las tres muertes de Marisela Escobedo,2020.0,9.0,175.0,0.0
劇場版 ヴァイオレット・エヴァーガーデン,2020.0,8.8,142.0,20339624.0
Огонь,2020.0,8.8,80.0,0.0
Avatar Spirits,2010.0,8.8,10.0,0.0
Scooby-Doo! Adventures: The Mystery Map,2013.0,8.8,52.0,0.0
Folklore: The Long Pond Studio Sessions,2020.0,8.7,68.0,0.0
The Shawshank Redemption,1994.0,8.7,20048.0,28341469.0
Billie Eilish: The World's a Little Blurry,2021.0,8.7,197.0,0.0
The Godfather,1972.0,8.7,15020.0,245066411.0
Resident Evil: Keeper's Diary,2014.0,8.7,6.0,0.0
ジョゼと虎と魚たち,2020.0,8.7,135.0,0.0
Franco Escamilla: bienvenido al mundo,2019.0,8.7,81.0,0.0
블랙핑크: 세상을 밝혀라,2020.0,8.7,366.0,0.0
दिलवाले दुल्हनिया ले जायेंगे,1995.0,8.7,3213.0,100000000.0
러브 유어셀프 인 서울,2019.0,8.7,338.0,0.0
Héroes: silencio y rock & roll,2021.0,8.7,67.0,0.0
The Godfather: Part II,1974.0,8.6,9028.0,102600000.0
Gabriel's Inferno Part III,2020.0,8.6,889.0,0.0
Behind the Fright: The Making of American Horror Story,2012.0,8.6,7.0,0.0
DC Showcase: Death,2019.0,8.6,60.0,0.0
David Attenborough: A Life on Our Planet,2020.0,8.6,201.0,0.0
Schindler's List,1993.0,8.6,11994.0,321365567.0
Macario,1960.0,8.6,101.0,0.0
Scooby-Doo! Ghastly Goals,2014.0,8.6,44.0,0.0
新劇場版 頭文字D Legend1 -覚醒-,2014.0,8.6,45.0,0.0
君の名は。,2016.0,8.6,8013.0,357986087.0
シン・エヴァンゲリオン劇場版:||,2021.0,8.6,359.0,78334943.0
劇場版総集編【後編】メイドインアビス 放浪する黄昏,2019.0,8.6,70.0,0.0
Everybody's Everything,2019.0,8.6,205.0,0.0
七人の侍,1954.0,8.5,2426.0,271842.0
Пальма,2021.0,8.5,91.0,0.0
Hamilton,2020.0,8.5,831.0,0.0
The Dark Knight,2008.0,8.5,26148.0,1004558444.0
One Direction: This Is Us,2013.0,8.5,857.0,0.0
銀河英雄伝説 Die Neue These 星乱 第一章,2019.0,8.5,11.0,0.0
Queen: Live at Wembley Stadium,1986.0,8.5,103.0,0.0
