original_title,release_year,revenue,vote_average,vote_count
Avatar,2009.0,2847246203.0,7.5,24280.0
Avengers: Endgame,2019.0,2797800564.0,8.3,19434.0
Titanic,1997.0,2187463944.0,7.9,19999.0
Star Wars: The Force Awakens,2015.0,2068223624.0,7.3,16314.0
Avengers: Infinity War,2018.0,2046239637.0,8.3,23027.0
Jurassic World,2015.0,1671713208.0,6.7,17336.0
The Lion King,2019.0,1667635327.0,7.2,8021.0
The Avengers,2012.0,1518815515.0,7.7,25642.0
Furious 7,2015.0,1515047671.0,7.3,8750.0
Frozen II,2019.0,1450026933.0,7.3,7740.0
Avengers: Age of Ultron,2015.0,1405403694.0,7.3,18757.0
Black Panther,2018.0,1346739107.0,7.4,18107.0
Harry Potter and the Deathly Hallows: Part 2,2011.0,1341511219.0,8.1,16362.0
Star Wars: The Last Jedi,2017.0,1332539889.0,6.9,12376.0
Jurassic World: Fallen Kingdom,2018.0,1303459585.0,6.6,9311.0
Frozen,2013.0,1274219009.0,7.3,13633.0
Beauty and the Beast,2017.0,1263521126.0,7.0,13735.0
Incredibles 2,2018.0,1242805359.0,7.5,10387.0
The Fate of the Furious,2017.0,1238764765.0,6.9,8595.0
Iron Man 3,2013.0,1214811252.0,6.9,18524.0
Minions,2015.0,1156730962.0,6.4,8957.0
Captain America: Civil War,2016.0,1153296293.0,7.4,18797.0
Aquaman,2018.0,1148461807.0,6.9,11036.0
Spider-Man: Far From Home,2019.0,1131927996.0,7.5,10893.0
Captain Marvel,2019.0,1128276090.0,6.9,12134.0
Transformers: Dark of the Moon,2011.0,1123794079.0,6.1,6613.0
The Lord of the Rings: The Return of the King,2003.0,1118888979.0,8.5,18523.0
Skyfall,2012.0,1108561013.0,7.2,12945.0
Transformers: Age of Extinction,2014.0,1104000000.0,5.9,6392.0
The Dark Knight Rises,2012.0,1081041287.0,7.8,18529.0
Joker,2019.0,1074251311.0,8.2,18970.0
Star Wars: The Rise of Skywalker,2019.0,1074144248.0,6.5,7194.0
Toy Story 4,2019.0,1073394593.0,7.6,7466.0
Toy Story 3,2010.0,1066969703.0,7.8,11889.0
Pirates of the Caribbean: Dead Man's Chest,2006.0,1065659812.0,7.3,12734.0
Rogue One: A Star Wars Story,2016.0,1056057273.0,7.5,12546.0
Aladdin,2019.0,1047612394.0,7.1,8150.0
Pirates of the Caribbean: On Stranger Tides,2011.0,1045713802.0,6.5,11352.0
Despicable Me 3,2017.0,1031552585.0,6.4,5724.0
Finding Dory,2016.0,1028570889.0,7.1,10184.0
Alice in Wonderland,2010.0,1025467110.0,6.6,11651.0
Zootopia,2016.0,1023784195.0,7.7,13369.0
The Hobbit: An Unexpected Journey,2012.0,1021103568.0,7.3,15327.0
The Dark Knight,2008.0,1004558444.0,8.5,26148.0
Harry Potter and the Philosopher's Stone,2001.0,976475550.0,7.9,21302.0
Despicable Me 2,2013.0,970761885.0,6.9,9382.0
The Jungle Book,2016.0,966550600.0,6.9,6853.0
Jumanji: Welcome to the Jungle,2017.0,962102237.0,6.8,11155.0
Pirates of the Caribbean: At World's End,2007.0,961000000.0,7.2,11414.0
The Hobbit: The Desolation of Smaug,2013.0,958400000.0,7.6,10474.0
